,0
2013-11-14 00:00:00,14715.90019
2013-11-15 00:00:00,14746.2
2013-11-16 00:00:00,14767.7
2013-11-17 00:00:00,14796.29961
2013-11-18 00:00:00,14828.40019
2013-11-19 00:00:00,14865.60039
2013-11-20 00:00:00,14894.60039
2013-11-21 00:00:00,14931.7
2013-11-22 00:00:00,14957.40019
2013-11-23 00:00:00,14981.29961
2013-11-24 00:00:00,15006.09327
2013-11-25 00:00:00,15029.09771
2013-11-26 00:00:00,15052.9998
2013-11-27 00:00:00,15078.10039
2013-11-28 00:00:00,15105.60039
2013-11-29 00:00:00,15130.19644
2013-11-30 00:00:00,15166.40019
2013-12-01 00:00:00,15185.7
2013-12-02 00:00:00,15206.2
2013-12-03 00:00:00,15229.29961
2013-12-04 00:00:00,15255.79961
2013-12-05 00:00:00,15279.40019
2013-12-06 00:00:00,15311.09949
2013-12-07 00:00:00,15328.4998
2013-12-08 00:00:00,15350.40019
2013-12-09 00:00:00,15372.79261
2013-12-10 00:00:00,15388.10039
2013-12-11 00:00:00,15405.59961
2013-12-12 00:00:00,15427.09183
2013-12-13 00:00:00,15449.79961
2013-12-14 00:00:00,15472.10039
2013-12-15 00:00:00,15492.49436
2013-12-16 00:00:00,15512.09705
2013-12-17 00:00:00,15532.698
2013-12-18 00:00:00,15551.2
2013-12-19 00:00:00,15579.79961
2013-12-20 00:00:00,15600.4998
2013-12-21 00:00:00,15612.89219
2013-12-22 00:00:00,15636.9948
2013-12-23 00:00:00,15657.60039
2013-12-24 00:00:00,15687.49313
2013-12-25 00:00:00,15717.79961
2013-12-26 00:00:00,15741.09983
2013-12-27 00:00:00,15768.79961
2013-12-28 00:00:00,15808.40019
2013-12-29 00:00:00,15844.2
2013-12-30 00:00:00,15876.09505
2013-12-31 00:00:00,15917.90019
2014-01-01 00:00:00,15965.59239
2014-01-02 00:00:00,16015.10039
2014-01-03 00:00:00,16060.09638
2014-01-04 00:00:00,16104.9918
2014-01-05 00:00:00,16151.60039
2014-01-06 00:00:00,16191.19333
2014-01-07 00:00:00,16235.29427
2014-01-08 00:00:00,16273.69267
2014-01-09 00:00:00,16310.79961
2014-01-10 00:00:00,16355.09872
2014-01-11 00:00:00,16389.00078
2014-01-12 00:00:00,16423.69889
2014-01-13 00:00:00,16462.999
2014-01-14 00:00:00,16507.29738
2014-01-15 00:00:00,16549.89922
2014-01-16 00:00:00,16595.89567
2014-01-17 00:00:00,16643.69644
2014-01-18 00:00:00,16687.69955
2014-01-19 00:00:00,16733.09905
2014-01-20 00:00:00,16777.29694
2014-01-21 00:00:00,16818.59805
2014-01-22 00:00:00,16861.19933
2014-01-23 00:00:00,16905.2
2014-01-24 00:00:00,16950.99811
2014-01-25 00:00:00,16990.19955
2014-01-26 00:00:00,17037.69955
2014-01-27 00:00:00,17089.49922
2014-01-28 00:00:00,17137.29805
2014-01-29 00:00:00,17185.59839
2014-01-30 00:00:00,17234.60039
2014-01-31 00:00:00,17288.49978
2014-02-01 00:00:00,17349.09972
2014-02-02 00:00:00,17409.59939
2014-02-03 00:00:00,17460.60039
2014-02-04 00:00:00,17520.00078
2014-02-05 00:00:00,17578.50078
2014-02-06 00:00:00,17642.29961
2014-02-07 00:00:00,17700.2
2014-02-08 00:00:00,17754.79961
2014-02-09 00:00:00,17816.60039
2014-02-10 00:00:00,17868.195
